"location","date","new_cases","total_vaccinations","new_vaccinations"
"United States","2022-12-16",446014,664062673,380625
"United States","2022-12-17",0,664259895,197222
"United States","2022-12-18",0,664373850,113955
"United States","2022-12-19",0,664711486,337636
"United States","2022-12-20",0,665028939,317453
"United States","2022-12-21",0,665317901,288962
"United States","2022-12-22",0,665547079,229178
"United States","2022-12-23",508009,665700653,153574
"United States","2022-12-24",0,665739625,38972
"United States","2022-12-25",0,665742181,2556
"United States","2022-12-26",0,665852398,110217
"United States","2022-12-27",0,666118942,266544
"United States","2022-12-28",0,666380587,261645
"United States","2022-12-29",0,666644942,264355
"United States","2022-12-30",392203,666888577,243635
"United States","2022-12-31",0,666952241,63664
"United States","2023-01-01",0,666962231,9990
"United States","2023-01-02",0,667086190,123959
"United States","2023-01-03",0,667314723,228533
"United States","2023-01-04",0,667532053,217330
"United States","2023-01-05",0,667759856,227803
"United States","2023-01-06",471714,668032629,272773
"United States","2023-01-07",0,668166932,134303
"United States","2023-01-08",0,668235802,68870
"United States","2023-01-09",0,668442071,206269
"United States","2023-01-10",0,668645088,203017
"United States","2023-01-11",0,668845541,200453
"United States","2023-01-12",0,669042935,197394
"United States","2023-01-13",448092,669264387,221452
"United States","2023-01-14",0,669367918,103531
"United States","2023-01-15",0,669415509,47591
"United States","2023-01-16",0,669528573,113064
"United States","2023-01-17",0,669679540,150967
"United States","2023-01-18",0,669826716,147176
"United States","2023-01-19",0,669967935,141219
"United States","2023-01-20",308025,670125256,157321
"United States","2023-01-21",0,670190219,64963
"United States","2023-01-22",0,670221095,30876
"United States","2023-01-23",0,670340666,119571
"United States","2023-01-24",0,670463588,122922
"United States","2023-01-25",0,670578583,114995
"United States","2023-01-26",0,670699113,120530
"United States","2023-01-27",294867,670830072,130959
"United States","2023-01-28",0,670882585,52513
"United States","2023-01-29",0,670909681,27096
"United States","2023-01-30",0,671010721,101040
"United States","2023-01-31",0,671113219,102498
"United States","2023-02-01",0,671212866,99647
"United States","2023-02-02",0,671312243,99377
"United States","2023-02-03",285402,671423970,111727
"United States","2023-02-04",0,671470458,46488
"United States","2023-02-05",0,671495506,25048
"United States","2023-02-06",0,671589596,94090
"United States","2023-02-07",0,671684807,95211
"United States","2023-02-08",0,671778135,93328
"United States","2023-02-09",0,671869542,91407
"United States","2023-02-10",278228,671969526,99984
"United States","2023-02-11",0,672011939,42413
"United States","2023-02-12",0,672030694,18755
"United States","2023-02-13",0,672110032,79338
"United States","2023-02-14",0,672184132,74100
"United States","2023-02-15",0,672267033,82901
"United States","2023-02-16",0,672346061,79028
"United States","2023-02-17",254372,672434501,88440
"United States","2023-02-18",0,672468591,34090
"United States","2023-02-19",0,672486324,17733
"United States","2023-02-20",0,672548661,62337
"United States","2023-02-21",0,672624669,76008
"United States","2023-02-22",0,672696611,71942
"United States","2023-02-23",0,672767310,70699
"United States","2023-02-24",0,672846343,79033
"United States","2023-02-25",267168,672878203,31860
"United States","2023-02-26",0,672894784,16581
"United States","2023-02-27",0,672966752,71968
"United States","2023-02-28",0,673038761,72009
"United States","2023-03-01",0,673110198,71437
"United States","2023-03-02",0,673180440,70242
"United States","2023-03-03",0,673258607,78167
"United States","2023-03-04",227828,673290317,31710
"United States","2023-03-05",0,673306999,16682
"United States","2023-03-06",0,673373725,66726
"United States","2023-03-07",0,673441497,67772
"United States","2023-03-08",0,673507961,66464
"United States","2023-03-09",0,673573609,65648
"United States","2023-03-10",0,673645633,72024
"United States","2023-03-11",170593,673675506,29873
"United States","2023-03-12",0,673691159,15653
"United States","2023-03-13",0,673752611,61452
"United States","2023-03-14",0,673812827,60216
"United States","2023-03-15",0,673876699,63872
"United States","2023-03-16",0,673938204,61505
"United States","2023-03-17",0,674004866,66662
"United States","2023-03-18",126613,674031936,27070
"United States","2023-03-19",0,674046252,14316
"United States","2023-03-20",0,674106474,60222
"United States","2023-03-21",0,674166233,59759
"United States","2023-03-22",0,674225438,59205
"United States","2023-03-23",0,674283757,58319
"United States","2023-03-24",0,674348833,65076
"United States","2023-03-25",152968,674374334,25501
"United States","2023-03-26",0,674388697,14363
"United States","2023-03-27",0,674444701,56004
"United States","2023-03-28",0,674501459,56758
"United States","2023-03-29",0,674559267,57808
"United States","2023-03-30",0,674615703,56436
"United States","2023-03-31",0,674674587,58884
"United States","2023-04-01",176358,674696382,21795
"United States","2023-04-02",0,674708566,12184
"United States","2023-04-03",0,674759102,50536
"United States","2023-04-04",0,674810463,51361
"United States","2023-04-05",0,674861309,50846
"United States","2023-04-06",0,674913181,51872
"United States","2023-04-07",0,674960747,47566
"United States","2023-04-08",0,674982343,21596
"United States","2023-04-09",103472,674988543,6200
"United States","2023-04-10",0,675037992,49449
"United States","2023-04-11",0,675087206,49214
"United States","2023-04-12",0,675136008,48802
"United States","2023-04-13",0,675182462,46454
"United States","2023-04-14",0,675232286,49824
"United States","2023-04-15",0,675251980,19694
"United States","2023-04-16",104057,675261871,9891
"United States","2023-04-17",0,675304457,42586
"United States","2023-04-18",0,675347903,43446
"United States","2023-04-19",0,675391336,43433
"United States","2023-04-20",0,675450061,58725
"United States","2023-04-21",0,675530053,79992
"United States","2023-04-22",0,675573420,43367
"United States","2023-04-23",98467,675599153,25733
"United States","2023-04-24",0,675684285,85132
"United States","2023-04-25",0,675768513,84228
"United States","2023-04-26",0,675856678,88165
"United States","2023-04-27",0,675946505,89827
"United States","2023-04-28",0,676043612,97107
"United States","2023-04-29",0,676083527,39915
"United States","2023-04-30",86484,676107562,24035
"United States","2023-05-01",0,676198192,90630
"United States","2023-05-02",0,676292617,94425
"United States","2023-05-03",0,676390150,97533
"United States","2023-05-04",0,676493615,103465
"United States","2023-05-05",0,676599339,105724
"United States","2023-05-06",0,676640011,40672
"United States","2023-05-07",77165,676661397,21386
"United States","2023-05-08",0,676717031,55634
"United States","2023-05-09",0,676728782,11751
